"value_labels","example_label","waves_present","n_waves","n_questions","variables"
"Missing | Not applicable | Completely free and fair | Free and fair, but with minor problems | Free and fair, with major problems | Not free or fair | Do not understand the question | Can't choose | Decline to answer","38.On the whole, how free and fair would you say the last national election was?","W4, W5, W6",3,3,"W4:q38 | W5:q38 | W6:q38"
"Missing | Not applicable | Very close | Somewhat close | Just a little close | Do not understand the question | Can't choose | Decline to answer","54. How close do you feel to (answer in q53)?","W4, W5, W6",3,3,"W4:q54 | W5:q57 | W6:q55"
"Missing | Reducing economic inequality is definitely more important | Reducing economic inequality is somewhat more important | Protecting political freedom is somewhat more important | Protecting political freedom is definitely more important | They are both equally important | Do not understand the question | Can't choose | Decline to answer","q127. If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?","W3, W4, W5",3,3,"W3:q127 | W4:q128 | W5:q135"
"Missing | Strongly agree | Somewhat agree | Somewhat disagree | Strongly disagree | Do not understand the question | Can't choose | Decline to answer","55 For the sake of the family, the individual should put his personal interests second.","W4, W5",2,52,"W4:q55 | W4:q56 | W4:q57 | W4:q58 | W4:q59 | W4:q60 | W4:q61 | W4:q62 | W4:q63 | W4:q64 | W4:q65 | W4:q66 | W4:q67 | W4:q68 | W5:q23 | W5:q58 | W5:q59 | W5:q60 | W5:q61 | W5:q62 | W5:q63 | W5:q64 | W5:q65 | W5:q66 | W5:q67 | W5:q68 | W5:q69 | W5:q137 | W5:q138 | W5:q139 | W5:q140 | W5:q141 | W5:q142 | W5:q143 | W5:q144 | W5:q145 | W5:q146 | W5:q147 | W5:q148 | W5:q149 | W5:q150 | W5:q151 | W5:q152 | W5:q153 | W5:q154 | W5:q155 | W5:q168 | W5:q169 | W5:q170 | W5:q171 | W5:q172 | W5:q173"
"Missing | Not applicable | I have done this more than three times | I have done this two or three times | I have done this once | I have not done this, but I might do it if something important happens in the future | I have not done this and I would not do it regardless of the situation | Do not understand the question | Can't choose | Decline to answer","70 In the past three years, have you ever contacted elected officials or legislative representatives at any level","W5, W6",2,17,"W5:q70 | W5:q71 | W5:q72 | W5:q73 | W5:q74 | W5:q75 | W5:q76 | W5:q77 | W5:q78 | W5:q79 | W5:q80 | W6:q72 | W6:q73 | W6:q74 | W6:q75 | W6:q76 | W6:q77"
"Missing | Completely Undemocratic | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Completely democratic | Don't understand the question | Can't choose | Decline to answer","94 Where would you place our country under the present government?","W4, W5",2,14,"W4:q94 | W4:q95 | W4:q96 | W4:q121 | W4:q122 | W4:q123 | W4:q124 | W5:q101 | W5:q102 | W5:q103 | W5:q128 | W5:q129 | W5:q130 | W5:q131"
"Missing | Not applicable | Very positive | Positive | Somewhat positive | Somewhat negative | Negative | Very negative | Do not understand the question | Can't choose | Decline to answer","q161. General speaking, the influence China has on our country is?","W3, W6",2,6,"W3:q161 | W6:q175 | W6:q177 | W6:q178 | W6:q182 | W6:q184"
"Missing | Not applicable | Much more good than harm | Somewhat more good than harm | Somewhat more harm than good | Much more harm than good | Do not understand the question | Can't choose | Decline to answer","q157. Does (answer in Q156) do more good or harm to the region? Ask Q157a if the answer in Q156 is not China, otherwise skip to Q158","W3, W6",2,5,"W3:q157 | W3:q157a | W3:q157b | W6:q174 | W6:q176"
"Missing | Hardly anyone is involved | Not a lot of officials are corrupt | Most officials are corrupt | Almost everyone is corrupt | Do not understand the question | Can't choose | Decline to answer","117 How widespread do you think corruption and bribe-taking are in your local/municipal government?","W4, W5",2,4,"W4:q117 | W4:q118 | W5:q124 | W5:q125"
"Missing | Much more good than harm | Somewhat more good than harm | Somewhat more harm than good | Much more harm than good | Do not understand the question | Can't choose | Decline to answer","164 Does the United States do more good or harm to the region?","W4, W5",2,4,"W4:q164 | W4:q165 | W5:q175 | W5:q177"
"Missing | Not applicable | Strongly disagree | Disagree | Agree | Strongly agree | Do not understand the question | Can't choose | Decline to answer","156_1 Our country should do more to learn from other countries(q156+q156a)","W5, W6",2,4,"W5:q156_1 | W5:q157_1 | W6:q156_1 | W6:q157_1"
"Missing | Very good | Good | So-so [not good nor bad] | Bad | Very bad | Do not understand the question | Can't choose | Decline to answer","1. How would you rate the overll economic condition of our country today?","W4, W5",2,4,"W4:q1 | W4:q4 | W5:q1 | W5:q4"
"Missing | Very positive | Positive | Somewhat positive | Somewhat negative | Negative | Very negative | Do not understand the question | Can't choose | Decline to answer","169 General speaking, the influence China has on our country is?","W4, W5",2,4,"W4:q169 | W4:q171 | W5:q182 | W5:q184"
"Missing | Very capable | Capable | Not capable | Not at all capable | Do not understand the question | Can't choose | Decline to answer","114 To what extent is the legislature capable of keeping government leaders in check?","W4, W5",2,3,"W4:q114 | W5:q120 | W5:q123"
"Missing | A good deal | Quite a lot | Not much | Not at all | Do not understand the question | Can't choose | Decline to answer","116 How much do you feel that having elections makes the government pay attention to what the people think?","W4, W5",2,2,"W4:q116 | W5:q122"
"Missing | Democracy is always preferable to any other kind of government | Under some circumstances, an authoritarian government can be preferable to a democratic one | For people like me, it does not matter whether we have a democratic or nondemocratic regime | Do not understand the question | Can't choose | Decline to answer","125 Which of the following statements comes closest to your own opinion?","W4, W5",2,2,"W4:q125 | W5:q132"
"Missing | Democracy is capable of solving the problems of our society | Democracy cannot solve our society`s problems | Do not understand the question | Can't choose | Decline to answer","126 Which of the following statements comes closer to your own view?","W4, W5",2,2,"W4:q126 | W5:q133"
"Missing | Democracy is completely unsuitable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Democracy is perfectily suitable | Don't understand the question | Can't choose | Decline to answer","97 Whether you think democracy is suitable for our country","W4, W5",2,2,"W4:q97 | W5:q104"
"Missing | Everyday | Several times a week | Once or twice a week | Not even once a week | Practically never | Do not understand the question | Can't choose | Decline to answer","45. How often do you follow news about politics and government?","W4, W5",2,2,"W4:q45 | W5:q47"
"Missing | Frequently | Occationally | Never | Do not understand the question | Can't choose | Decline to answer","46. When you get together with your family members or friends, how often do you discuss political matters","W4, W5",2,2,"W4:q46 | W5:q48"
"Missing | Government leaders implement what voters want. | Government leaders do what they think is best for the people. | Do not understand the question | Can't choose | Decline to answer","79. Which of the following statements do you agree with most?","W4, W5",2,2,"W4:q79 | W5:q82"
"Missing | It is doing its best | It is doing something | It is not doing much | Doing nothing | Do not understand the question | Can't choose | Decline to answer","q118. In your opinion, is the government working to crack down on corruption and root out bribery?","W3, W4",2,2,"W3:q118 | W4:q119"
"Missing | It would be serious, and we would have difficulty coping | It would be serious, but we could deal with it | We could manage just fine | Do not understand the question | Can`t choose | Decline to answer","158 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?","W4, W5",2,2,"W4:q158 | W5:q162"
"Missing | Not applicable (eligible only once) | Voted in every election | Voted in most elections | Voted in some elections | Hardly ever voted | Do not understand the question | Can't choose | Decline to answer","78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself?","W4, W5",2,2,"W4:q78 | W5:q81"
"Missing | Political leaders are chosen by the people through open and competitive elections | Political leaders are chosen on the basis on their virtue and capability even without election | Do not understand the question | Can't choose | Decline to answer","82. which of the following statements do you agree with most?","W4, W5",2,2,"W4:q82 | W5:q85"
"Missing | Substantially more opportunities | More opportunities | About the same | Fewer opportunities | Substantially fewer opportunities | Do not understand the question | Can't choose | Decline to answer","160 As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status?","W4, W5",2,2,"W4:q160 | W5:q164"
"Missing | The media should have the right to publish news and ideas without government control | The government should have the right to prevent the media from publishing things that might be politically destabilizing | Do not understand the question | Can't choose | Decline to answer","81. which of the following statements do you agree with most?","W4, W5",2,2,"W4:q81 | W5:q84"
"Missing | Very close | Close | Not very close | Not close at all | Do not understand the question | Can't choose | Decline to answer","172 How close do you feel to ASEAN? (ASEAN countries only)","W4, W5",2,2,"W4:q172 | W5:q186"
"Missing | Very fair | Fair | Unfair | Very unfair | Do not understand the question | Can`t choose | Decline to answer","155 How fair do you think income distribution is in the country?","W4, W5",2,2,"W4:q155 | W5:q159"
"Missing | Very hard | A bit hard | Not too hard | Not hard at all | Do not understand the question | Can't choose | Decline to answer","32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?","W4, W5",2,2,"W4:q32 | W5:q32"
"Missing | Very interested | Somewhat interested | Not very interested | Not at all interested | Do not understand the question | Can't choose | Decline to answer","44. How interested would you say you are in politics?","W4, W5",2,2,"W4:q44 | W5:q46"
"Missing | Very safe | Safe | Unsafe | Very unsafe | Do not undertstand the question | Can't choose | Decline to answer","43. How safe is living in this city/ town/ village","W4, W5",2,2,"W4:q43 | W5:q45"
"Missing | Very satisfied | Fairly satisfied | Not very satisfied. | Not at all satisfied. | Do not understand the question | Can't choose | Decline to answer","92 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?","W4, W5",2,2,"W4:q92 | W5:q99"
"Missing | Very satisfied | Somewhat satisfied | Somewhat dissatisfied | Very dissatisfied | Do not understand the question | Can't choose | Decline to answer","98 How satisfied or dissatisfied are you with the current government?","W4, W5",2,2,"W4:q98 | W5:q105"
"Missing | Very willing | Willing | Not willing | Not willing at all | Do not understand the question | Can't choose | Decline to answer","162 Given the chance, how willing would you be to go and live in another country","W4, W5",2,2,"W4:q162 | W5:q167"
"Missing | Yes | No | Do not understand the question | Can't choose | Decline to answer","47. Do you have Internet access at home?","W4, W5",2,2,"W4:q47 | W5:q127"
"Strongly agree | Somewhat agree | Somewhat disagree | Strongly disagree | Do not understand the question | Can't choose | Decline to answer","Even if parents' demands are unreasonable, children still should do what they ask","W2",1,47,"W2:q56 | W2:q57 | W2:q58 | W2:q59 | W2:q60 | W2:q61 | W2:q62 | W2:q63 | W2:q64 | W2:q65 | W2:q70 | W2:q71 | W2:q72 | W2:q73 | W2:q74 | W2:q75 | W2:q76 | W2:q77 | W2:q78 | W2:q103 | W2:q104 | W2:q105 | W2:q106 | W2:q107 | W2:q108 | W2:q109 | W2:q110 | W2:q111 | W2:q127 | W2:q128 | W2:q129 | W2:q130 | W2:q131 | W2:q133 | W2:q134 | W2:q135 | W2:q136 | W2:q137 | W2:q138 | W2:q139 | W2:q140 | W2:q141 | W2:q142 | W2:q143 | W2:q144 | W2:q145 | W2:q146"
"Missing | Not applicable | Strongly agree | Somewhat agree | Somewhat disagree | Strongly disagree | Do not understand the question | Can't choose | Decline to answer","23 Do you agree with the statement that 'most people are trustworthy?'","W6",1,27,"W6:q23 | W6:q56 | W6:q57 | W6:q58 | W6:q59 | W6:q60 | W6:q61 | W6:q62 | W6:q63 | W6:q64 | W6:q65 | W6:q66 | W6:q67 | W6:q99 | W6:q100 | W6:q101 | W6:q102 | W6:q103 | W6:q104 | W6:q105 | W6:q106 | W6:q107 | W6:q133 | W6:q134 | W6:q135 | W6:q136 | W6:q137"
"None at all | Not Very Much Trust | Quite a Lot of Trust | A Great Deal of Trust | Do not understand the question | Can't choose | Decline to answer","Trust in Prime Minister or president","W2",1,16,"W2:q7 | W2:q8 | W2:q9 | W2:q10 | W2:q11 | W2:q12 | W2:q13 | W2:q14 | W2:q15 | W2:q16 | W2:q17 | W2:q18 | W2:q19 | W2:q24 | W2:q25 | W2:q26"
"Missing | Not applicable | A great deal of trust | Quite a lot of trust | Not very much trust | None at all | Do not understand the question | Can't choose | Decline to answer","7 Trust in the excutive office (president or prime minister)","W6",1,15,"W6:q7 | W6:q8 | W6:q9 | W6:q10 | W6:q11 | W6:q12 | W6:q13 | W6:q14 | W6:q15 | W6:q16 | W6:q17 | W6:q24 | W6:q25 | W6:q26 | W6:q27"
"Missing | Trust fully | Trust a lot | Trust somewhat | Distrust somewhat | Distrust a lot | Distrust fully | Do not understand the question | Can't choose | Decline to answer","7 Trust in the excutive office (president or prime minister)","W5",1,15,"W5:q7 | W5:q8 | W5:q9 | W5:q10 | W5:q11 | W5:q12 | W5:q13 | W5:q14 | W5:q15 | W5:q16 | W5:q17 | W5:q24 | W5:q25 | W5:q26 | W5:q27"
"Missing | Not applicable | Strongly agree | Somewhat agree | Somewhat disagree | Strongly disagree | Don't understand | Can't choose | Decline to answer","146 I have here other statements: Women should not be involved in politics as much as men","W6",1,14,"W6:q146 | W6:q147 | W6:q148 | W6:q149 | W6:q150 | W6:q151 | W6:q152 | W6:q153 | W6:q154 | W6:q155 | W6:q168 | W6:q169 | W6:q170 | W6:q171"
"Missing | A great deal of trust | Quite a lot of trust | not very much trust not very much trust | None at all | Do not understand the question | Can't choose | Decline to answer","q7. I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The president","W3",1,13,"W3:q7 | W3:q8 | W3:q9 | W3:q10 | W3:q11 | W3:q12 | W3:q13 | W3:q14 | W3:q15 | W3:q16 | W3:q17 | W3:q18 | W3:q19"
"Mssing | A great deal of trust | Quite a lot of trust | Not very much trust | None at all | Do not understand the question | Can't choose | Decline to answer","7 Trust in the excutive office (president or prime minister)","W4",1,13,"W4:q7 | W4:q8 | W4:q9 | W4:q10 | W4:q11 | W4:q12 | W4:q13 | W4:q14 | W4:q15 | W4:q16 | W4:q17 | W4:q18 | W4:q19"
"Missing | I have done this more than once | I have done this once | I have never done this. | Do not understand the question | Can't choose | Decline to answer","69 In the past three years, have you ever contacted elected officials or legislative representatives at any level-3 categories","W4",1,9,"W4:q69 | W4:q70 | W4:q71 | W4:q72 | W4:q73 | W4:q74 | W4:q75 | W4:q76 | W4:q77"
"Missing | I have done this more than once | I have done this once | I have not done this, but I might do it if something important happens in the future | I have not done this and I would not do it regardless of the situation | Do not understand the question | Can't choose | Decline to answer","69a In the past three years, have you ever contacted elected officials or legislative representatives at any level-4 categories","W4",1,9,"W4:q69a | W4:q70a | W4:q71a | W4:q72a | W4:q73a | W4:q74a | W4:q75a | W4:q76a | W4:q77a"
"Missing | Never Done | Once | More than once | Can't choose | Decline to answer","q64. In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ","W3",1,9,"W3:q64 | W3:q65 | W3:q66 | W3:q67 | W3:q68 | W3:q69 | W3:q70 | W3:q71 | W3:q72"
"Missing | Do not understand the question | Can't choose | Decline to answer","q91. Here is a scale: 1 means completely undemocratic and 10 means completely democratic. Where would you place our country under the present government?","W3",1,8,"W3:q91 | W3:q92 | W3:q93 | W3:q94 | W3:q120 | W3:q121 | W3:q122 | W3:q123"
"Not applicable | Yes | No | Can't choose | Decline to answer","Main source of information. Question 51.01 Television","W2",1,8,"W2:q51_1 | W2:q51_2 | W2:q51_3 | W2:q51_4 | W2:q51_5 | W2:q51_6 | W2:q51_7 | W2:q51_8"
"Missing | Definitely not an essential characteristic of democracy | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Definitely an essential characteristic of democracy | Do not understand the question | Can't choose | Decline to answer","91 The courts protects the ordinary people from the abuse of government power","W5",1,7,"W5:q91 | W5:q92 | W5:q93 | W5:q94 | W5:q95 | W5:q96 | W5:q97"
"Missing | Not applicable | Completely undemocratic | Completely democratic | Do not understand the question | Can't choose | Decline to answer","92 Where would you place our country under the present government?","W6",1,7,"W6:q92 | W6:q93 | W6:q94 | W6:q120 | W6:q121 | W6:q122 | W6:q123"
"Missing | Not applicable | Yes | No | Do not understand the question | Can’t choose | Decline to answer","q51f Messenger","W6",1,7,"W6:q51f_Messenger | W6:q51g_Telegram | W6:q51h_Line | W6:q51i_Whatsapp | W6:q51j_Snapchat | W6:q51k_Vchat | W6:q51l_Tumblr"
"Missing | Not applicable | Yes | No | Don't know | Decline to answer","119a Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Personally witnessed","W6",1,7,"W6:q119a | W6:q119b | W6:q119c | W6:q139a | W6:q139b | W6:q139c | W6:q139d"
"Not applicable | No | Yes | Can't choose | Decline to answer","Have you been a victim of pick-pocketing/robbery of personal property?","W2",1,7,"W2:q35 | W2:q36 | W2:q37 | W2:q38 | W2:q40 | W2:q41 | W2:q42"
"Very Bad | ... | ... | ... | ... | ... | ... | ... | ... | Very Good | Not applicable | Do not understand the question | Can't choose | Decline to answer","Impression: The European Community or European Union","W2",1,7,"W2:q160 | W2:q161 | W2:q162 | W2:q163 | W2:q164 | W2:q165 | W2:q166"
"Missing | Not applicable | Very easy | Easy | Difficult | Very difficult | Never tried | Do not understand the question | Can't choose | Decline to answer","39 How easy or difficult to obtain roads in good condition","W5",1,6,"W5:q39 | W5:q40 | W5:q41 | W5:q42 | W5:q43 | W5:q44"
"Strongly agree | Somewhat agree | Somewhat disagree | Strongly disagree | Not agree nor disagree | Do not understand the question | Can't choose | Decline to answer","These people should have the equal right to do whatever they want to do as other citizens","W2",1,6,"W2:q148 | W2:q149 | W2:q150 | W2:q151 | W2:q152 | W2:q153"
"Missing | Not applicable | Always | Sometimes | Never | Don't know | Decline to answer","143aWhen there is a public health challenge like the coronavirus, is it justifiable for the government to postpone elections?","W6",1,5,"W6:q143a | W6:q143b | W6:q143c | W6:q143d | W6:q143e"
"Missing | Not applicable | Strongly agree | Agree | Disagree | Strongly disagree | Do not understand the question | Can't choose | Decline to answer","80  Over the long run, our system of government is capable of solving the problems our country faces.","W6",1,5,"W6:q80 | W6:q81 | W6:q82 | W6:q83 | W6:q128"
"Missing | Not applicable | Very easy | Easy | Difficult | Very difficult | Do not understand the question | Can't choose | Decline to answer | Have not tried using this service","41 How easy or difficult to obtain public transportation","W6",1,5,"W6:q41 | W6:q42 | W6:q43 | W6:q44 | W6:q45"
"Missing | Not applicable | Very justified | Somewhat justified | Not very justified | Not at all justified | Don't know | Decline to answer","172a Which circumstance would justify the governments's use of emergency powers to costrain rights and freedom: A public health crisis like the Covid-19 pandemic","W6",1,5,"W6:q172a | W6:q172b | W6:q172c | W6:q172d | W6:q172e"
"Once | More than once | Never | No answer | Can't choose | Decline to answer","Contacted officials at higher level","W2",1,5,"W2:q80 | W2:q81 | W2:q82 | W2:q86 | W2:q87"
"0 rejection | 1 acceptance/others","strong leader","W3",1,4,"W3:q129a | W3:q130a | W3:q131a | W3:q129a_q131a"
"Missing | All responsibility | Most of the responsibility | Some responsibility | No responsibility | Do not understand the question | Can`t choose | Decline to answer","160a It is the responsibility of the government to narrow the gap between the rich and the poor","W5",1,4,"W5:q160a | W5:q160b | W5:q160c | W5:q160d"
"Missing | Always | Most of the time | Sometimes | Rarely | Do not understand the question | Can't choose | Decline to answer","110 Do officials who commit crimes go unpunished?","W4",1,4,"W4:q110 | W4:q111 | W4:q112 | W4:q113"
"Missing | Always | Most of the time | Sometimes | Rarely | Don't understand the question | Can't choose | Decline to answer","q108. Do officials who commit crimes go unpunished?","W3",1,4,"W3:q108 | W3:q109 | W3:q110 | W3:q111"
"Missing | Not applicable | All | Most | Some | None | Don't understand | Can't choose | Decline to answer","160a Narrow the gap between the rich and the poor","W6",1,4,"W6:q160a | W6:q160b | W6:q160c | W6:q160d"
"Missing | Not applicable | Often | Sometimes | Seldom | Never | Do not understand the question | Can't choose | Decline to answer","52a How often do you use social media to talk to or to connect with other people?","W6",1,4,"W6:q52a | W6:q52b | W6:q52c | W6:q52d"
"Missing | Not applicable | Political parties | Residential & community associations | Religious groups | Sports/ recreational clubs | Culture organizations | Charities | Public interest groups | Labor unions | Farmer unions or agricultural associations | Professional organizations | Business associations | Parent-Teacher Associations o PTA | Producer cooperatives | Consumer cooperatives | ALUMNI ASSOCIATIONS | Candidate support organizations | Other occupational organizations | Other volunteer organizations | Student Associations | Hometown/clan/peer-group/mutual assistance associations | Others | Not a member of any organization or group | Do not understand the question | Can’t choose | Decline to answer | Others, specify","18 Name of the organization you belong to. First","W6",1,4,"W6:q18 | W6:q19 | W6:q20 | W6:q21"
"Missing | Not applicable | Political parties | Residential & community associations | Religious groups | Sports/recreational clubs | Culture organizations | Charities | Public interest groups | Labor unions | Farmer unions or agricultural associations | Professional organizations | Business associations | Parent-Teacher associations or PTA | Producer cooperatives | Consumer cooperatives | Alumni associations | Candidate support organizations | Other occupational organizations | Other volunteer organizations | Student Associations | Hometwon/clan/peer-group/mutual assistance associations/tribal community | Not a member of any organization or group | Do not understand the question | Can't choose | Decline to answer","18. Name of the organization you belong to. First","W5",1,4,"W5:q18 | W5:q19 | W5:q20 | W5:q21"
"Missing | Not applicable | Strongly approve | Approve | Disapprove | Strongly disapprove | Don't understand the question | Can't choose | Decline to answer","129 We should get rid of parliament and elections and have a strong leader to decide things.","W6",1,4,"W6:q129 | W6:q130 | W6:q131 | W6:q132"
"Missing | Not applicable | Very difficult | Difficult | Easy | Very easy | Never tried | Do not understand the question | Can't choose | Decline to answer","39. How easy or difficult to obtain an identity document service","W4",1,4,"W4:q39 | W4:q40 | W4:q41 | W4:q42"
"Missing | Strongly approve | Somewhat approve | Somewhat disapprove | Strongly disapprove | Don't understand the question | Can't choose | Decline to answer","q129. There are many ways to govern a country. Would you disapprove or approve of the following alternatives? For each statement, would you say you strongly approve, approve, disapprove, or strongly disapprove? We should get rid of parliament and election","W3",1,4,"W3:q129 | W3:q130 | W3:q131 | W3:q132"
"Missing | Very Difficult | Difficult | Easy | Very Easy | Never Tried | Can't choose | Decline to answer","q38. Based on your experience, how easy or difficult is it to obtain the following services?  Or have you never tried to get these services from government?  An identity document (such as a birth certificate or passport)","W3",1,4,"W3:q38 | W3:q39 | W3:q40 | W3:q41"
"Not applicable | Very Difficult | Difficult | Easy | Very Easy | Never Try | Can't choose | Decline to answer","How easy is it to obtain: An identity document","W2",1,4,"W2:q44 | W2:q45 | W2:q46 | W2:q47"
"Yes | No | Decline to answer","Relation: The European Community or European Union","W2",1,4,"W2:q156 | W2:q157 | W2:q158 | W2:q159"
"Complete Dictatorship | ... | ... | ... | ... | ... | ... | ... | ... | Complete Democracy | Do not understand the question | Can't choose | Decline to answer","Where would you place our country during the period of [the name of the most recent government under authoritarian rule]?","W2",1,3,"W2:q95 | W2:q96 | W2:q97"
