"q_number","waves_present","n_waves","labels","variables"
42,"W2, W3, W4, W5, W6",5,"Did you do anything else to help out or work for a party or  || q42. Generally speaking, how safe is living in this city/ to || 42. How easy or difficult to obtain help from the police whe || 42 How easy or difficult to obtain healthcare","q42, q42, q42, q42, q42"
43,"W2, W3, W4, W5, W6",5,"On the whole, how would you rate the freeness and fairness o || q43. How interested would you say you are in politics? || 43. How safe is living in this city/ town/ village || 43 How easy or difficult to obtain help from the pollice whe || 43 How easy or difficult to obtain help from the police when","q43, q43, q43, q43, q43"
44,"W2, W3, W4, W5, W6",5,"How easy is it to obtain: An identity document || q44. How often do you follow news about politics and governm || 44. How interested would you say you are in politics? || 44 How easy or difficult to obtain access to the internet || 44 How easy or difficult to obtain access to the Internet","q44, q44, q44, q44, q44"
45,"W2, W3, W4, W5, W6",5,"How easy is it to obtain: A place in public primary school f || q45. How often do you use the internet? || 45. How often do you follow news about politics and governme || 45 Generally speaking, how safe is living in this city/town/ || 45 How easy or difficult to obtain childcare","q45, q45, q45, q45, q45"
46,"W2, W3, W4, W5, W6",5,"How easy is it to obtain: Medical treatment at a nearby clin || q46. When you get together with your family members or frien || 46. When you get together with your family members or friend || 46 How interested would you say you are in politics? || 46 Generally speaking, how safe is living in this city/town/","q46, q46, q46, q46, q46"
47,"W2, W3, W4, W5, W6",5,"How easy is it to obtain: Help from the police when you need || q47. Among the political parties listed here, which party if || 47. Do you have Internet access at home? || 47 How often do you follow news about politics and governmen || 47 How interested would you say you are in politics?","q47, q47, q47, q47, q47"
48,"W2, W3, W4, W5, W6",5,"How would you describe the present political situation in ou || q48. How close do you feel to (answer in Q47)? Is it very cl || 48. Do you have Internet access on a mobile phone? || 48 When you get together with your family members or friends || 48 How often do you follow news about politics and governmen","q48, q48, q48, q48, q48"
49,"W2, W3, W4, W5, W6",5,"How interested would you say you are in politics || q49. Please tell me how you feel about the following stateme || 49. How often do you use the internet? || 49 How often do you use the internet, either through compute || 49 When you get together with your family members or friends","q49, q49, q49, q49, q49"
50,"W2, W3, W4, W5, W6",5,"How often do you follow news about politics and government || q50. For the sake of the family, the individual should put h || 50. Do you currently use any of the following social media n || 50 Do you currently use any of the following social media ne || 50 How often do you use the internet, either through compute","q50, q50, q50, q50, q50"
51,"W2, W2, W2, W2, W2, W2, W2, W2, W2, W3, W4, W5, W5, W5, W5, W6, W6, W6, W6, W6, W6, W6, W6, W6, W6, W6, W6",5,"Main source of information. Question 51.01 Television || Question 51.02 Newspaper || Question 51.03 Radio || Question 51.04 Internet || Question 51.05 Cell phone short message (SMS) || Question 51.06 Personal contact || Question 51.07 Other || Magazine || From Q51 Which is most important || q51. In a group, we should sacrifice our individual interest || 51. How often do you use the Internet or social media networ || 51a You use social media primarily to connect with other peo || 51b You use social media primarily to expresss my opinion on || 51c You use social media primarily to share news or informat || 51d You use social media primarily for work || 51a Which social media and text messaging services do you ac || 51b Twitter || 51c Instagram || 51d Youtube || 51e Tiktok || q51f Messenger || q51g Telegram || q51h Line || q51i Whatsapp || q51j Snapchat || q51k Vchat || q51l Tumblr","q51_1, q51_2, q51_3, q51_4, q51_5, q51_6, q51_7, q51_8, q51a, q51, q51, q51a, q51b, q51c, q51d, q51a_Facebook, q51b_Twitter, q51c_Instagram, q51d_Youtube, q51e_Tiktok, q51f_Messenger, q51g_Telegram, q51h_Line, q51i_Whatsapp, q51j_Snapchat, q51k_Vchat, q51l_Tumblr"
52,"W2, W3, W4, W5, W6, W6, W6, W6",5,"When you get together with your family members or friends, h || q52. For the sake of national interest, individual interest  || 52. How often do you use the Internet or social media networ || 52 Which one is the most important channel for you to find i || 52a How often do you use social media to talk to or to conne || 52b How often do you use social media to express my opinion  || 52c How often do you use social media to share news or infor || 52d How often do you use social media to organize to influen","q52, q52, q52, q52, q52a, q52b, q52c, q52d"
53,"W2, W3, W4, W5, W6, W6",5,"How much impact do you feel government politics have on your || q53. When dealing with others, developing a long-term relati || 53.Among the political parties listed here, which party if a || 53 How much trust do you have in each of the following types || 53 Which one is the most important channel for you to find i || 53. Other specify responses","q53, q53, q53, q53, q53, q53other"
54,"W2, W3, W4, W5, W6, W6",5,"Among the political parties listed here, which party if any  || q54. When dealing with others, one should not only focus on  || 54. How close do you feel to (answer in q53)? || 54 How much trust do you have in each of the following types || 54 Among the political parties listed here, which party if a || 54. Other specify responses","q54, q54, q54, q54, q54, q54other"
55,"W2, W3, W4, W5, W6",5,"How close do you feel to the party(answer in Q54)? || q55. Even if parents' demands are unreasonable, children sti || 55 For the sake of the family, the individual should put his || 55 How much trust do you have in each of the following types || 55 How close do you feel to (answer in Q54)? Is it very clos","q55, q55, q55, q55, q55"
56,"W2, W3, W4, W5, W6",5,"Even if parents' demands are unreasonable, children still sh || q56. When a mother-in-law and a daughter-in-law come into co || 56. In a group, we should sacrifice our individual interest  || 56 Among the political parties listed here, which party if a || 56 For the sake of the family, the individual should put his","q56, q56, q56, q56, q56"
57,"W2, W3, W4, W5, W6",5,"Being a student, one should not question the authority of th || q57. Being a student, one should not question the authority  || 57. For the sake of national interest, individual interest c || 57 How close do you feel to (answer in Q56)? Is it very clos || 57 In a group, we should sacrifice our individual interest f","q57, q57, q57, q57, q57"
58,"W2, W3, W4, W5, W6",5,"When one has conflict with a neighbor, the best way to deal  || q58. In a group, we should avoid open quarrel to preserve th || 58. When dealing with others, developing a long-term relatio || 58 For the sake of the family, the individual should put his || 58 For the sake of national interest, individual interest co","q58, q58, q58, q58, q58"
59,"W2, W3, W4, W5, W6",5,"A person should not insist on his own opinion if his co-work || q59. Even if there is some disagreement with others, one sho || 59. When dealing with others, one should not only focus on i || 59 In a group, we should sacrifice our individual interest f || 59 When dealing with others, developing a long-term relation","q59, q59, q59, q59, q59"
60,"W2, W3, W4, W5, W6",5,"For the sake of the family, the individual should put his pe || q60. A person should not insist on his own opinion if his co || 60. Even if parents' demands are unreasonable, children stil || 60 For the sake of national interest, individual interest co || 60 Even if parents' demands are unreasonable, children still","q60, q60, q60, q60, q60"
61,"W2, W3, W4, W5, W6",5,"Sometimes one has to follow one's own beliefs regardless of  || q61. Wealth and poverty, success and failure are all determi || 61. When a mother-in-law and a daughter-in-law come into con || 61 When dealing with others, developing a long-term relation || 61 When a mother-in-law and a daughter-in-law come into conf","q61, q61, q61, q61, q61"
62,"W2, W3, W4, W5, W6",5,"When dealing with others, securing one's immediate interests || q62. If one could have only one child, it is more preferable || 62. Being a student, one should not question the authority o || 62 Even if parents' demands are unreasonable, children still || 62 Being a student, one should not question the authority of","q62, q62, q62, q62, q62"
63,"W2, W3, W4, W5, W6",5,"Open quarrels (criticisms) among politicians are harmful to  || q63. When dealing with others, one should not be preoccupied || 63. In a group, we should avoid open quarrel to preserve the || 63 When a mother-in-law and a daughter-in-law come into conf || 63 In a group, we should avoid open quarrel to preserve the ","q63, q63, q63, q63, q63"
64,"W2, W3, W4, W5, W6",5,"The relationship between the government and the people shoul || q64. In the past three (3) years, have you never, once, or m || 64. Even if there is some disagreement with others, one shou || 64 Being a student, one should not question the authority of || 64 Even if there is some disagreement with others, one shoul","q64, q64, q64, q64, q64"
65,"W2, W3, W4, W5, W6",5,"People should always support the decisions of their governme || q65. Contacted officials at higher level. || 65. A person should not insist on his own opinion if his co- || 65 In a group, we should avoid open quarrel to preserve the  || 65 A person should not insist on his own opinion if his co-w","q65, q65, q65, q65, q65"
66,"W2, W3, W4, W5, W6",5,"How often do you use the internet? || q66. Contacted traditional leaders/community leaders. || 66. Wealth and poverty, success and failure are all determin || 66 Even if there is some disagreement with others, one shoul || 66 Wealth and poverty, success and failure are all determine","q66, q66, q66, q66, q66"
67,"W2, W3, W4, W5, W6",5,"How closely do you follow major events in foreign countries/ || q67. Contacted other influential people outside the governme || 67. If one could have only one child, it is more preferable  || 67 A person should not insist on his own opinion if his co-w || 67 If one could have only one child, it is more preferable t","q67, q67, q67, q67, q67"
68,"W2, W3, W4, W5, W6",5,"Have you traveled abroad before? If you have, how often do y || q68. Contacted news media || 68. When dealing with others, one should not be preoccupied  || 68 Wealth and poverty, success and failure are all determine || 68 In the past three years, have you ever contacted elected ","q68, q68, q68, q68, q68"
69,"W2, W3, W4, W4, W5, W6",5,"How often do you have personal contact with foreigners? || q69. Here is a list of actions that people sometimes take as || 69 In the past three years, have you ever contacted elected  || 69a In the past three years, have you ever contacted elected || 69 If one could have only one child, it is more preferable t || 69  Contacted civil servants or officials","q69, q69, q69, q69a, q69, q69"
70,"W2, W3, W4, W4, W5, W6",5,"We should give up gains in the present for the possibility o || q70. Got together with others to raise an issue or sign a pe || 70  Contacted officials at higher level-3 categories. || 70a  Contacted officials at higher level--4 categories. || 70 In the past three years, have you ever contacted elected  || 70  Contacted other influential people outside the governmen","q70, q70, q70, q70a, q70, q70"
71,"W2, W3, W4, W4, W5, W6",5,"Conflict among political groups is not a bad thing for our c || q71. Attended a demonstration or protest march || 71 Contacted traditional leaders/community leaders-3 categor || 71a Contacted traditional leaders/community leaders-4 catego || 71 Contacted civil servants or officials || 71  Contacted news media","q71, q71, q71, q71a, q71, q71"
72,"W2, W3, W4, W4, W5, W6",5,"If a government policy serves the interests of the majority  || q72. Used force or violence for a political cause || 72  Contacted other influential people outside the governmen || 72a  Contacted other influential people outside the governme || 72 Contacted other influential people outside the government || 72  Signed a paper or online petition?","q72, q72, q72, q72a, q72, q72"
73,"W2, W3, W4, W4, W5, W6",5,"The best way to deal with complicated political issues shoul || q73. Thinking of whether you voted or not ever since you bec || 73  Contacted news media-3 categories || 73a  Contacted news media-4 categories || 73 Contacted news media || 73  Used the Internet including Social Media Networks to exp","q73, q73, q73, q73a, q73, q73"
74,"W2, W3, W3, W4, W4, W5, W6",5,"Political reform should be introduced little-by-little inste || q74. Let's talk for a moment about the kind of government yo || q74a. Do you strongly agree or just agree with the chosen st || 74 Whether you personally have ever got together with others || 74a Whether you personally have ever got together with other || 74 Signed a paper petition || 74  Joined a group to activiely support a cause [including o","q74, q74, q74a, q74, q74a, q74, q74"
75,"W2, W3, W3, W4, W4, W5, W6",5,"Cruel criminals should be punished immediately without regar || q75. Let's talk for a moment about the kind of government yo || q75a. Do you strongly agree or just agree with the chosen st || 75 Got together with others to raise an issue or sign a peti || 75a Got together with others to raise an issue or sign a pet || 75 Signed an online petition || 75  Got together with others face-to face to try to resolve ","q75, q75, q75a, q75, q75a, q75, q75"
76,"W2, W3, W3, W4, W4, W5, W6",5,"For the sake of the national community/society, the individu || q76. Let's talk for a moment about the kind of government yo || q76a. Do you strongly agree or just agree with the chosen st || 76 Attended a demonstration or protest march-3 categories || 76a Attended a demonstration or protest march-4 categories || 76 Used the internet including social media networks to expr || 76  Attended a demonstration or protest march","q76, q76, q76a, q76, q76a, q76, q76"
77,"W2, W3, W3, W4, W4, W5, W6",5,"The most important thing for political leaders is to accompl || q77. Let's talk for a moment about the kind of government yo || q77a. Do you strongly agree or just agree with the chosen st || 77 Used force or violence for a political cause-3 categories || 77a Used force or violence for a political cause-4 categorie || 77 Joined a group to actively support a cause(including onli || 77  Taken an action or done something for a political cause ","q77, q77, q77a, q77, q77a, q77, q77"
78,"W2, W3, W3, W4, W5, W6",5,"If possible, I don't want to get involved in political matte || q78. Let's talk for a moment about the kind of government yo || q78a. Do you strongly agree or just agree with the chosen st || 78 Thinking of whether you voted or not ever since you becam || 78 Got together with others face-to-face to try to resolve l","q78, q78, q78a, q78, q78, q78"
79,"W2, W3, W3, W4, W4, W5, W6",5,"Contacted government (administrative) official || q79. Let's talk for a moment about the kind of government yo || q79a. Do you strongly agree or just agree with the chosen st || 79. Which of the following statements do you agree with most || 79a. Do you strongly agree or just agree with the chosen sta || 79 Attended a demonstration or protest march || 79 In recent years and thinking about election campaigns, ha","q79, q79, q79a, q79, q79a, q79, q79"
80,"W2, W3, W4, W4, W5, W6",5,"Contacted officials at higher level || q80. Over the long run, our system of government is capable  || 80. which of the following statements do you agree with most || 80a. Do you strongly agree or just agree with the chosen sta || 80 Taken an action or done something for a political cause t || 80  Over the long run, our system of government is capable o","q80, q80, q80, q80a, q80, q80"
81,"W2, W3, W4, W4, W5, W6",5,"Contacted elected officials or legislative representatives a || q81. Thinking in general, I am proud of our system of govern || 81. which of the following statements do you agree with most || 81a. Do you strongly agree or just agree with the chosen sta || 81 Thinking of whether you voted or not ever since you becam || 81  Thinking in general, I am proud of our system of governm","q81, q81, q81, q81a, q81, q81"
82,"W2, W3, W4, W4, W5, W5, W6",5,"Contacted officials of political parties or other political  || q82. A system like ours, even if it runs into problems, dese || 82. which of the following statements do you agree with most || 82a. Do you strongly agree or just agree with the chosen sta || 82 which of the following statements do you agree with most? || 82a Do you strongly agree or just agree with the chosen stat || 82  A system like ours, even if it runs into problems, deser","q82, q82, q82, q82a, q82, q82a, q82"
83,"W2, W3, W4, W5, W5, W6",5,"Contacted representative of non-government/civil society org || q83. I would rather live under our system of government than || 83. Over the long run, our system of government is capable o || 83 Which of the following statements do you agree with most? || 83a Do you strongly agree or just agree with the chosen stat || 83  I would rather live under our system of government than ","q83, q83, q83, q83, q83a, q83"
84,"W2, W3, W4, W5, W5, W6",5,"Contacted traditional leaders/community leaders (IN: Mass me || q84. Compared with other systems in the world, would you say || 84. Thinking in general, I am proud of our system of governm || 84 Which of the following statements do you agree with most? || 84a Do you strongly agree or just agree with the chosen stat || 84 Would you say our system of government works fine as it i","q84, q84, q84, q84, q84a, q84"
85,"W2, W3, W4, W5, W5, W6",5,"Contacted other influential people || q85. Many things may be desirable, but not all of them are e || 85 A system like ours, even if it runs into problems, deserv || 85 Which of the following statements do you agree with most? || 85a Do you strongly agree or just agree with the chosen stat || 85 Which one would you choose as the most essential characte","q85, q85, q85, q85, q85a, q85"
86,"W2, W3, W4, W5, W6",5,"Refused to pay taxes or fees to the government || q86. If you have to choose only one from each four sets of s || 86. I would rather live under our system of government than  || 86 Over the long run, our system of government is capable of || 86 Which one would you choose as the most essential characte","q86, q86, q86, q86, q86"
87,"W2, W3, W4, W5, W6",5,"Got together with others to raise an issue or sign a petitio || q87. If you have to choose only one from each four sets of s || 87. would you say our system of government works fine as it  || 87 Thinking in general, I am proud of our system of governme || 87 Which one would you choose as the most essential characte","q87, q87, q87, q87, q87"
88,"W2, W3, W4, W5, W6",5,"Attended a demonstration or protest march || q88. If you have to choose only one from each four sets of s || 88  which one would you choose as the most essential charact || 88 A system like ours, even if it runs into problems, deserv || 88 Which one would you choose as the most essential characte","q88, q88, q88, q88, q88"
89,"W2, W3, W4, W5, W6",5,"Used force or violence for a political cause || q89. On the whole, how satisfied or dissatisfied are you wit || 89. which one would you choose as the most essential charact || 89 I would rather live under our system of government than a || 89 To you, what does “democracy” mean? (open-ended) <optiona","q89, q89, q89, q89, q89"
90,"W2, W3, W4, W5, W6",5,"Thinking of whether you voted or not ever since you became e || q90. In your opinion how much of a democracy is [Country Nam || 90. which one would you choose as the most essential charact || 90 Would you say our system of government works fine as it i || 90 On the whole, how satisfied or dissatisfied are you with ","q90, q90, q90, q90, q90"
91,"W2, W2, W2, W3, W4, W5, W6",5,"To you, what does ""democracy"" mean?  What else? || Second Response || Third Response || q91. Here is a scale: 1 means completely undemocratic and 10 || 91. which one would you choose as the most essential charact || 91 The courts protects the ordinary people from the abuse of || 91 In your opinion how much of a democracy is our country?","q91_1, q91_2, q91_3, q91, q91, q91, q91"
92,"W2, W3, W4, W5, W6",5,"People often differ in their views on the characteristic tha || q92. Where would you place our country ten years ago? || 92 On the whole, how satisfied or dissatisfied are you with  || 92 Politics is clean and free of corruption || 92 Where would you place our country under the present gover","q92, q92, q92, q92, q92"
93,"W2, W3, W4, W5, W6",5,"On the whole, how satisfied or dissatisfied are you with the || q93. Where would you want our country to be in the future? || 93. In your opinion how much of a democracy is the country? || 93 People have the freedom to take part in protests and demo || 93 Where would you place our country ten years ago?","q93, q93, q93, q93, q93"
94,"W2, W3, W4, W5, W6",5,"In your opinion how much of a democracy is [country]? || q94. Here is a similar scale of 1 to 10 measuring the extent || 94 Where would you place our country under the present gover || 94 When making laws, the government seek advice from religio || 94 Where would you expect our country to be ten years from n","q94, q94, q94, q94, q94"
95,"W2, W3, W4, W5, W6",5,"Where would you place our country during the period of [the  || q95. How satisfied or dissatisfied are you with the [name of || 95 Where would you place our country ten years ago? || 95 Political leaders rule by following their own wisdom rath || 95 Where would you place our country today? Democracy is sui","q95, q95, q95, q95, q95"
96,"W2, W3, W4, W5, W6",5,"Where would you place our country under the present governme || q96. In your opinion, what are the most important problems f || 96 Where would you expect our country to be ten years from n || 96 Rule by one party that represents the interests of all cl || 96 How satisfied or dissatisfied are you with the current pr","q96, q96, q96, q96, q96"
97,"W2, W3, W4, W5, W6, W6, W6, W6, W6, W6",5,"To what extent would you want our country to be democratic n || q97. How likely is it that the government will solve the mos || 97 Whether you think democracy is suitable for our country || 97 Qualified candidates are pre-selected by religious leader || 97 What are the most important problems facing this country  || 97. Other specify responses || 97a What are the most important problems facing this country || 97a. Other specify responses || 97b What are the most important problems facing this country || 97b. Other specify responses","q97, q97, q97, q97, q97, q97other, q97a, q97aother, q97b, q97bother"
98,"W2, W3, W4, W5, W6",5,"Which would you think democracy is suitable for our country? || q98. Now I am going to read to you a list of statements that || 98 How satisfied or dissatisfied are you with the current go || 98 If you have to choose only one, which of the following yo || 98 How likely is it that the government will solve the most ","q98, q98, q98, q98, q98"
99,"W2, W3, W4, W4, W4, W5, W6",5,"How satisfied or dissatisfied are you with the [name of pres || q99. Political parties or candidates in our country have equ || 99 What are the first most important problems facing this co || 99a. What are the second most important problems facing this || 99b. What are the third most important problems facing this  || 99 On the whole, how satisfied or dissatisfied are you with  || 99 Citizens are able to remove a government they don't like ","q99, q99, q99, q99a, q99b, q99, q99"
100,"W2, W3, W4, W5, W6",5,"In your opinion, what are the most important questions facin || q100. Between elections, the people have no way of holding t || 100. How likely is it that the government will solve the mos || 100 In your opinion how much of a democracy is our country? || 100  In our country, parties and candidates not in power hav","q100, q100, q100, q100, q100"
101,"W2, W3, W4, W5, W6",5,"Second Response || q101. When government leaders break the laws, there is nothi || 101. People have the power to change a government they don't || 101 Where would you place our country under the present gove || 101  Between elections, the people have no way of holding th","q101, q101, q101, q101, q101"
102,"W2, W2, W3, W4, W5, W6",5,"Third Response || How likely is it that the government will solve the most imp || q102. Most citizens in our country don't make much effort to || 102. Political parties or candidates in our country have equ || 102 Where would you place our country ten years ago? || 102  When government leaders break the laws, there is nothin","q102, q102a, q102, q102, q102, q102"
103,"W2, W3, W4, W5, W6",5,"People have the power to change a government they don't like || q103. All citizens from different ethnic communities in Coun || 103. Between elections, the people have no way of holding th || 103 Where would you expect our country to be ten years from  || 103  All citizens from different ethnic communities in the [","q103, q103, q103, q103, q103"
104,"W2, W3, W4, W5, W6",5,"Our current courts always punish the guilty even if they are || q104. Rich and poor people are treated equally by the govern || 104. When government leaders break the laws, there is nothin || 104 Where would you place our country today? Democracy is su || 104  Rich and poor people are treated equally by the governm","q104, q104, q104, q104, q104"
105,"W2, W3, W4, W5, W6",5,"Political parties or candidates in our country have equal ac || q105. People have basic necessities like food, clothes, and  || 105. All citizens from different ethnic communities in the c || 105 How satisfied or dissatisfied are you with the current p || 105  People have basic necessities like food, clothes, and s","q105, q105, q105, q105, q105"
